path,folder,extension,bytes,rows,modified,chipboard_id,start_time_unix,start_time_string,acq_time_s,hv_v,threshold_kev,pixet_version,mpx_type,interface
13_tue_proton_daily_batch/toa_tot__r0000028476.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:37:32,G07-W0050,1707799048.444,Tue Feb 13 05:37:28.444000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028610.t3pa,13_tue_proton_daily_batch,.t3pa,1132,41,2024-02-13T09:23:04,G07-W0050,1707801764.684,Tue Feb 13 06:22:44.684000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028691.t3pa,13_tue_proton_daily_batch,.t3pa,2804134,91886,2024-02-13T09:50:26,G07-W0050,1707803405.587,Tue Feb 13 06:50:05.586999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028658.t3pa,13_tue_proton_daily_batch,.t3pa,709,25,2024-02-13T09:39:16,G07-W0050,1707802736.86,Tue Feb 13 06:38:56.859999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028665.t3pa,13_tue_proton_daily_batch,.t3pa,2597,94,2024-02-13T09:41:38,G07-W0050,1707802878.493,Tue Feb 13 06:41:18.493000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028529.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:55:24,G07-W0050,1707800122.666,Tue Feb 13 05:55:22.665999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028471.t3pa,13_tue_proton_daily_batch,.t3pa,2006,74,2024-02-13T08:36:08,G07-W0050,1707798947.279,Tue Feb 13 05:35:47.279000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028650.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:36:16,G07-W0050,1707802574.993,Tue Feb 13 06:36:14.993000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028471.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:35:50,G07-W0050,1707798947.279,Tue Feb 13 05:35:47.279000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028549.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:02:10,G07-W0050,1707800528.327,Tue Feb 13 06:02:08.326999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028528.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:55:04,G07-W0050,1707800102.433,Tue Feb 13 05:55:02.433000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028577.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:11:40,G07-W0050,1707801096.004,Tue Feb 13 06:11:36.003999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028542.t3pa,13_tue_proton_daily_batch,.t3pa,1199,43,2024-02-13T09:00:06,G07-W0050,1707800385.695,Tue Feb 13 05:59:45.694999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028550.t3pa,13_tue_proton_daily_batch,.t3pa,1087,39,2024-02-13T09:02:48,G07-W0050,1707800548.562,Tue Feb 13 06:02:28.562000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028586.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:14:40,G07-W0050,1707801279.09,Tue Feb 13 06:14:39.089999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028596.t3pa,13_tue_proton_daily_batch,.t3pa,1141,42,2024-02-13T09:18:20,G07-W0050,1707801481.421,Tue Feb 13 06:18:01.421000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028582.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:13:20,G07-W0050,1707801198.158,Tue Feb 13 06:13:18.157999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028547.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:01:30,G07-W0050,1707800487.86,Tue Feb 13 06:01:27.859999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028476.t3pa,13_tue_proton_daily_batch,.t3pa,542,19,2024-02-13T08:37:48,G07-W0050,1707799048.444,Tue Feb 13 05:37:28.444000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028614.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:24:08,G07-W0050,1707801845.616,Tue Feb 13 06:24:05.615999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028535.t3pa,13_tue_proton_daily_batch,.t3pa,1479,53,2024-02-13T08:57:46,G07-W0050,1707800244.064,Tue Feb 13 05:57:24.063999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028680.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:46:26,G07-W0050,1707803183.007,Tue Feb 13 06:46:23.006999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028672.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:43:42,G07-W0050,1707803020.141,Tue Feb 13 06:43:40.141000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028511.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:49:18,G07-W0050,1707799757.487,Tue Feb 13 05:49:17.486999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028616.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:24:48,G07-W0050,1707801886.082,Tue Feb 13 06:24:46.082000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028503.t3pa,13_tue_proton_daily_batch,.t3pa,2192,79,2024-02-13T08:46:56,G07-W0050,1707799595.367,Tue Feb 13 05:46:35.367000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028484.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:40:16,G07-W0050,1707799210.307,Tue Feb 13 05:40:10.306999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028525.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:54:04,G07-W0050,1707800041.734,Tue Feb 13 05:54:01.733999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028558.t3pa,13_tue_proton_daily_batch,.t3pa,3897,140,2024-02-13T09:05:32,G07-W0050,1707800711.55,Tue Feb 13 06:05:11.549999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028501.t3pa,13_tue_proton_daily_batch,.t3pa,1878,68,2024-02-13T08:46:16,G07-W0050,1707799554.901,Tue Feb 13 05:45:54.901000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028497.t3pa,13_tue_proton_daily_batch,.t3pa,2194,79,2024-02-13T08:44:54,G07-W0050,1707799473.968,Tue Feb 13 05:44:33.967999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028484.t3pa,13_tue_proton_daily_batch,.t3pa,659,23,2024-02-13T08:40:30,G07-W0050,1707799210.307,Tue Feb 13 05:40:10.306999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028527.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:54:44,G07-W0050,1707800082.2,Tue Feb 13 05:54:42.200000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028615.t3pa,13_tue_proton_daily_batch,.t3pa,878,31,2024-02-13T09:24:46,G07-W0050,1707801865.849,Tue Feb 13 06:24:25.848999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028690.t3pa,13_tue_proton_daily_batch,.t3pa,787766,27015,2024-02-13T09:50:06,G07-W0050,1707803385.354,Tue Feb 13 06:49:45.354000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028515.t3pa,13_tue_proton_daily_batch,.t3pa,1950,70,2024-02-13T08:50:56,G07-W0050,1707799838.419,Tue Feb 13 05:50:38.418999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028672.t3pa,13_tue_proton_daily_batch,.t3pa,1625,59,2024-02-13T09:44:02,G07-W0050,1707803020.141,Tue Feb 13 06:43:40.141000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028684.t3pa,13_tue_proton_daily_batch,.t3pa,645,23,2024-02-13T09:48:04,G07-W0050,1707803263.938,Tue Feb 13 06:47:43.937999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028566.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:07:54,G07-W0050,1707800873.419,Tue Feb 13 06:07:53.418999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028576.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:11:18,G07-W0050,1707801075.771,Tue Feb 13 06:11:15.770999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028524.t3pa,13_tue_proton_daily_batch,.t3pa,1702,61,2024-02-13T08:54:02,G07-W0050,1707800021.501,Tue Feb 13 05:53:41.500999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028544.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:00:28,G07-W0050,1707800426.161,Tue Feb 13 06:00:26.161000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028661.t3pa,13_tue_proton_daily_batch,.t3pa,413,14,2024-02-13T09:40:18,G07-W0050,1707802797.559,Tue Feb 13 06:39:57.559000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028477.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:37:50,G07-W0050,1707799068.677,Tue Feb 13 05:37:48.677000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028668.t3pa,13_tue_proton_daily_batch,.t3pa,487,17,2024-02-13T09:42:40,G07-W0050,1707802939.194,Tue Feb 13 06:42:19.194000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
